"Latitude","Longitude","Sample.Date","3.Low","PossiblyImpaired","sample_id","Stream.Name","X1.High","X2.Slight"
40.6615,-73.6035,NA,0.506232213,"yes","","",NA,NA
40.6615,-73.6036,NA,0.848773525,"yes","","",NA,NA
40.664,-73.6539,NA,0.667688888,"yes","","",NA,NA
40.6688,-73.4829,NA,0.80078388,"yes","","",NA,NA
40.6914,-73.3575,NA,0.985302698,"yes","","",NA,NA
40.714,-73.3279,NA,0.915583127,"yes","","",NA,NA
40.7158,-73.3287,NA,0.880762039,"yes","","",NA,NA
40.7324,-73.2507,NA,0.995641932,"yes","","",NA,NA
40.7549,-73.7453,NA,0.901286058,"yes","","",NA,NA
40.7566,-73.7461,NA,0.901286058,"yes","","",NA,NA
40.7728,-73.033,NA,0.901286058,"yes","","",NA,NA
40.8498,-73.2237,NA,0.96646394,"yes","","",NA,NA
40.8847,-73.6174,NA,0.750570839,"yes","","",NA,NA
40.9079,-73.8842,NA,0.961339142,"yes","","",NA,NA
40.9079,-73.8896,NA,0.955387211,"yes","","",NA,NA
40.9138,-73.8835,NA,0.978234727,"yes","","",NA,NA
40.9899,-73.8632,NA,0.502739729,"yes","","",NA,NA
40.9899,-73.8632,NA,0.502739729,"yes","","",NA,NA
41.0193,-74.0824,NA,0.515796929,"yes","","",NA,NA
41.0292,-73.9257,NA,0.959128337,"yes","","",NA,NA
41.0294,-73.9254,NA,0.958230865,"yes","","",NA,NA
41.0303,-73.9247,NA,0.942026128,"yes","","",NA,NA
41.0358,-73.9067,NA,0.667688888,"yes","","",NA,NA
41.0362,-73.9091,NA,0.904495496,"yes","","",NA,NA
41.0519,-73.945,NA,0.672243587,"yes","","",NA,NA
41.0587,-73.9917,NA,0.646050084,"yes","","",NA,NA
41.059,-73.9928,NA,0.667688888,"yes","","",NA,NA
41.0599,-74.0236,NA,0.98391789,"yes","","",NA,NA
41.0599,-74.0236,NA,0.98391789,"yes","","",NA,NA
41.0622,-73.9458,NA,0.667688888,"yes","","",NA,NA
41.0664,-74.0394,NA,0.901286058,"yes","","",NA,NA
41.0681,-74.04,NA,0.508289594,"yes","","",NA,NA
41.0683,-74.0264,NA,0.737545517,"yes","","",NA,NA
41.0683,-74.0264,NA,0.737545517,"yes","","",NA,NA
41.0827,-74.0825,NA,0.515796929,"yes","","",NA,NA
41.0828,-74.0825,NA,0.975447599,"yes","","",NA,NA
41.0864,-73.9627,NA,0.959486537,"yes","","",NA,NA
41.118,-74.0438,NA,0.996315658,"yes","","",NA,NA
41.118,-74.0438,NA,0.996315658,"yes","","",NA,NA
41.1182,-73.9446,NA,0.622153752,"yes","","",NA,NA
41.1213,-73.8672,NA,0.790687458,"yes","","",NA,NA
41.1256,-73.4476,NA,0.927255576,"yes","","",NA,NA
41.1324,-73.8187,NA,0.990791468,"yes","","",NA,NA
41.1324,-73.8187,NA,0.990791468,"yes","","",NA,NA
41.1338,-73.9433,NA,0.99702414,"yes","","",NA,NA
41.1339,-73.9433,NA,0.999823338,"yes","","",NA,NA
